vcc,status1,vpd,status2,txno,acc_z,p,vbat,t,rssi,rh,id,acc_y,acc_x,timestamp
2607,1001100,999,0,939,1143,1031.53,3871,15.37,120,88.09,0.79,56,-148,2017-03-15T10:30:58.320Z
2625,1001100,999,0,938,1150,1031.65,3871,15.21,120,88.58,0.79,63,-152,2017-03-15T10:25:07.447Z
2642,1001100,999,0,937,1150,1031.77,3875,15.09,120,89.03,0.79,57,-148,2017-03-15T10:19:06.903Z
2666,1001100,999,0,936,1159,1031.87,3871,15.07,120,89.22,0.79,54,-148,2017-03-15T10:13:11.121Z
2704,1001100,999,0,935,1164,1031.92,3871,15.06,120,89.48,0.79,52,-152,2017-03-15T10:07:16.735Z
2745,1001100,999,0,934,1171,1032.16,3871,15.01,120,89.98,0.79,56,-161,2017-03-15T10:01:20.287Z
2800,1001100,999,0,933,1179,1032.33,3871,14.93,120,90.63,0.79,60,-153,2017-03-15T09:55:25.319Z
2865,1001100,999,0,932,1192,1032.54,3871,14.86,120,91.16,0.79,56,-164,2017-03-15T09:49:30.335Z
2938,1001100,999,0,931,1207,1032.77,3871,14.75,120,91.68,0.79,60,-164,2017-03-15T09:43:36.692Z
2997,11100,999,0,930,1228,1033.02,3875,14.72,120,92.32,0.79,65,-153,2017-03-15T09:37:42.804Z
2997,101100,999,0,929,1239,1033.36,3871,14.61,120,92.96,0.79,55,-188,2017-03-15T09:31:49.552Z
2997,101100,999,0,928,1262,1033.58,3875,14.54,120,93.6,0.79,28,-244,2017-03-15T09:25:59.875Z
2997,101100,999,0,927,1286,1033.72,3875,14.5,120,94.21,0.79,183,-116,2017-03-15T09:20:09.032Z
2997,1100,999,0,926,1262,1033.79,3875,14.43,120,95.04,0.79,35,-173,2017-03-15T09:14:22.740Z
2997,1100,999,0,925,1283,1033.89,3875,14.34,120,95.86,0.79,54,-152,2017-03-15T09:08:40.405Z
2997,1100,999,0,924,1299,1033.95,3880,14.27,120,96.63,0.79,63,-160,2017-03-15T09:03:02.747Z
2997,1100,999,0,923,1318,1033.91,3884,14.2,120,97.36,0.79,54,-180,2017-03-15T08:57:29.330Z
2997,1100,999,0,922,1324,1033.87,3880,14.15,120,97.9,0.79,47,-193,2017-03-15T08:52:04.148Z
2997,1100,991,0,921,1324,1033.85,3884,14.12,120,98.3,0.79,56,-189,2017-03-15T08:46:35.952Z
2997,1100,962,0,920,1320,1033.94,3871,14.06,120,98.69,0.79,51,-193,2017-03-15T08:40:59.642Z
2997,1100,999,0,919,1312,1033.83,3880,14.05,120,98.91,0.79,56,-169,2017-03-15T08:35:27.844Z
2997,1100,966,0,918,1291,1033.76,3880,14.03,120,99.06,0.79,62,-157,2017-03-15T08:29:51.116Z
2997,101100,940,0,917,1262,1033.56,3875,14,120,99.14,0.79,38,-177,2017-03-15T08:24:10.852Z
2997,101100,828,0,916,1279,1033.49,3875,13.98,120,99.06,0.79,267,-145,2017-03-15T08:18:25.711Z
2997,11100,650,0,915,1295,1033.42,3875,13.93,120,98.91,0.79,44,-244,2017-03-15T08:12:44.173Z
2997,11100,694,0,914,1246,1033.1,3875,13.9,120,98.52,0.79,35,-208,2017-03-15T08:06:47.076Z
2997,1011100,747,0,913,1231,1032.64,3875,13.81,120,97.56,0.79,67,-164,2017-03-15T08:00:53.234Z
2964,1001100,732,0,912,1208,1032.28,3875,13.66,120,97.04,0.79,64,-148,2017-03-15T07:55:02.981Z
2894,1001100,637,0,911,1191,1032.07,3871,13.63,120,96.89,0.79,60,-168,2017-03-15T07:49:01.721Z
